"case_no","patents"
"1:19-cv-00430","5642379|5506866|5475691"
"1:19-cv-12324","6409599"
"2:15-cv-02079","6063050|6468286|6682544"
"23-1464","7573851|7146172|7072315|6904283"
"2:14-cv-00409","9534365"
"2:15-cv-00331","11381866|10135682|9210362|8792008|9825826|8284690|9866438|11785275|11399206|8223775"
"7:16-cv-07819","10124924"
"2:10-cv-00346","6042998"
"2:15-cv-01009","8041017"
"3:10-cv-00048","6918082"
"6:10-cv-00141","5909492|5715314"
"1:13-cv-10765",""
"6:20-cv-00758","8586610"
"3:20-cv-00963","10545899|9645962|11681643|11176072|9460037|9619420"
"1:12-cv-00016","7681124"
"1:19-cv-04069","5969156"
"3:16-cv-09035","10343142"
"6:15-cv-01178","D632053|D622477|D606285|D616627|D665558|D632052|D632051|D623377|8568195|D666384"
"2:12-cv-00333","8339049"
"1:18-cv-01461","6397143"
"2:23-cv-00522","D521850"
"3:14-cv-01921","7320999|6509376|8399514"
"2:15-cv-02780","7818349"
"1:20-cv-01539","5845070"
"3:15-cv-00206","8569325|8404703"
"2:14-cv-01059",""
"1:22-cv-00362","11104236|11235673|11124077"
"2:19-cv-06874","7400970"
"2020-2177","6389473"
"2019-2176","9333073|8894702|8911455|8795356|9339379|8414644|9339377"
"1:17-cv-06109","9551509|9742347|9985574"
"1:12-cv-01768","RE40281"
"24-1029","5809338|5940591|5243596|6256684|5150410|6243838|5832228"
"2:15-cv-00233","5733599|6375822"
"6:12-cv-00707","6836654"
"6:20-cv-00951","6146997"
"2:16-cv-00915","9696868|8881048|9304654"
"6:22-cv-00786","6272533"
"3:10-cv-02618","7516770"
"2:13-cv-04529","7967822"
"1:14-cv-10500","8497420|8889979|8889980|8895843|7767254"
"3:19-cv-00225","7598035|7232656|6306597"
"17-1616","7838558|7737181|7579377|7834060|7868044"
"2017-2499","6558264"
"1:19-cv-01046","7250543|7291321"
"6:19-cv-00352","7782607"
"3:15-cv-00329","5508731"
"2:14-cv-00508","6179053"
"1:16-cv-02475","9399012|9610265"
"3:15-cv-05273","7183835"
"2017-1376","6947748|7454212"
"2016-2734","6442602"
"6:13-cv-00040","9321530|9016617|9284049|D691514"
"2013-1598","9399012"
"9:10-cv-81106","D635855"
"3:18-cv-00817","6276211|6530888"
"6:19-cv-00545","7480637"
"2:15-cv-04781","9395917|9645663"
"3:11-cv-00289",""
"3:16-cv-08282","8707611"
"1:13-cv-00794","7293385"
"1:18-cv-01820","9890535|9487955"
"2:16-cv-12995","6665722"
"1:23-cv-03226","8982086|7199821|7203517"
"1:20-cv-00154",""
"2:17-cv-02423","7796969|7123898|7860499|7910993|7460852"
"3:14-cv-00927","7967465|8089370|8077052|7336157|7429827|7196477|8104914"
"337-TA-1232","6938104|8725924"
"1:19-cv-00465","8642600|8017615|7053092|8642760|8580796"
"1:19-cv-01056","8518929|8524698|8440650|8377920|8546372|8367652|8357677|8293728|8415335|8617594|8426399|8318715"
"2:16-cv-00271","5745379|5845088|5564001"
"2019-1134","7139094"
"2:20-cv-00798","7162696"
"2:21-cv-16213","5847170|7241907|8927592"
"0:17-cv-05095","8047021|8444756"
"9:18-cv-81522","9812825|8902760|9019838|8942107"
"2:15-cv-08017","7808483"
"2022-1800","7395479"
"1:15-cv-00022","6154738"
"3:13-cv-02643","10143665|9198882|9192590|9233077|8026284|9173851"
"1:16-cv-01177","6075793"
"6:15-cv-00666","8851162"
"2:19-cv-00115","6073142|5987610|6460050|7506155"
"1:18-cv-01048","7754731"
"1:15-cv-06134","6263439"
"5:16-cv-01315","7320999|6509376"
"2:11-cv-00061",""
"6:13-cv-00465","9053498"
"3:21-cv-09775","5817364"
"2:17-cv-00502","6697385"
"1:14-cv-02339","8507102|8528117"
"1:14-cv-10154","9272805"
"1:13-cv-00271","9016609|9061862"
"0:13-cv-01371","8856056"
"2:13-cv-00709","8099420|6928442|7945544|7802310"
"1:12-cv-00907","6000608"
"6:13-cv-00056","7729528"
"3:17-cv-05087","6561439|D473286"
"4:16-cv-02392","7660700|6834308|7346472|8214175|7949494"
"1:23-cv-04131","8205237|8656441|8640179|8010988"
"2:14-cv-01526",""
"3:19-cv-19345","6128415"
"1:20-cv-06604","10376356"
"3:12-cv-01192","11123901"
"1:10-cv-00039","7229201|7798692"
"0:18-cv-60267","8060282"
"6:15-cv-00091","6795805|7151802|7191123|7260521|6807524"
"6:20-cv-00438","7469171"
"2:14-cv-02365",""
"2:19-cv-09759","6563813"
"2:18-cv-00193","7729008|6995870|7312897|8760704|8537357"
"1:19-cv-04801","5839108"
"2:15-cv-01257","5999927"
"0:12-cv-00553","8079311|8191485"
"6:12-cv-00097","5809336"
"1:18-cv-00343","7088854|7254266|8687879"
"9:16-cv-80063","5963642"
"2:11-cv-02469","6020980"
"9:16-cv-80939","9679286"
"1:22-cv-00195","7596900|4813056|4860103"
"1:11-cv-02055","6526402"
"6:15-cv-01080","5972920"
"1:21-cv-00747","6421602|8224876|6263276|6917876|6680694|6621452|6421607"
"2:14-cv-00720","7411070|6369085"
"3:14-cv-01108","7156012|7325709|7398647|RE42987|6974062"
"1:12-cv-09023","7536871|7543459|4655403"
"2:12-cv-00350","RE38551"
"2:11-cv-02859","6347739"
"1:16-cv-08218","6243699|6035294|6195652"
"3:20-cv-00484","6938177"
"6:16-cv-01045","8224282|7746887|7860495|8264371"
"1:18-cv-02027","D627494"
"6:20-cv-00853","RE43462"
"1:19-cv-00105","6327586"
"6:13-cv-00181","8117644|6845448"
"0:12-cv-00893","8611404"
"2:15-cv-01065",""
"2:13-cv-00296","7177874"
"1:13-cv-00095","7797011"
"6:21-cv-01348","9080714|D690707"
"2:12-cv-00485","8424752"
"5:19-mc-80163","6243699|6035294|6195652"
"6:14-cv-00251",""
"1:10-cv-01431","8441438|8552978"
