"case_no","patents"
"2:12-cv-00923","RE40000"
"1:14-cv-06957","7562696"
"6:11-cv-00390","6308482"
"8:10-cv-02315","5506866"
"1:14-cv-00217","6266008|7102564"
"2:13-cv-00169","9561229"
"3:22-cv-00301","6655589"
"2:18-cv-07441","9014659|8588207|9294888"
"2:15-cv-00521","D545485|D634469|7641367|D644185"
"2014-1434","7171629"
"1:12-cv-01158","8131497|8498753|10018371|8423322"
"6:16-cv-01249","10027505|9871671"
"0:11-cv-00883","6003135|6088802"
"6:22-cv-00139","6389293"
"3:10-cv-00537","9054860"
"2:23-cv-00549","5835498|7599439|7295578|7143328"
"2:14-cv-01135","5474831|5394667"
"2:20-cv-08000","8452379|7986765|7123684|7688940|7831296"
"2:13-cv-00665","6684248"
"2:17-cv-00400","6952645|7400970|6904359"
"2:13-cv-06383",""
"3:19-cv-18958","11112799"
"1:14-cv-00461","RE37516|7132570"
"2012-1291","4352359|4788146|4524087|4539996"
"3:18-cv-17246","7178020"
"1:22-cv-00704","6346795"
"2:19-cv-02248","5991843|5938764|7336531|6845053|5787174|7285979|7138823|5255109|6002613|7389369"
"6:22-cv-00970","7000894"
"1:23-cv-03888","7178097"
"2:21-cv-00450","RE44652"
"2017-1441","6701508"
"2:23-cv-07449","7125875|7153856|7491725|6596746"
"22-1819","8676085|8494411|8532533|8676090|8369744|8682215|8135304|8433219|8280278|8630564|8437669|8565640|8688008"
"6:15-cv-01121","6268731"
"4:21-cv-08914","7128988"
"2:17-cv-01354","7239338"
"8:19-cv-01792","7184405"
"2:19-cv-17150","10460767|9935528|8737017|9742239|10407775"
"3:21-cv-01173","6972790|8537242"
"1:13-cv-00116","6243699|6035294|6195652"
"2:23-cv-00619","6381768"
"1:15-cv-00959","8280932|7840619"
"6:22-cv-00946","D855616|D844618|10572429|D813875"
"1:14-cv-03653","7007507"
"1:10-cv-00512","5388198"
"4:10-cv-02402","6175655"
"3:20-cv-00590","8277780|8715624|5990100"
"2018-1422","6363376|7490086|6324538|6385620|10096000|6332125|4625081|6370510|5978768|6381592|6457005|5164897|6567784|6873964|9760864|5832497|6662194|7148991"
"3:11-cv-00070","6968263|6292727|7542836|6584387"
"2:15-cv-00038","5373149|5206854|5251328|6236717|5828657|5719922|5812537|6970501|5444704|7894472"
"1:23-cv-00893","6066016"
"1:14-cv-10133","10174532"
"2:18-cv-00087","10413472|7652436|7303300|7722553"
"1:16-cv-00536","7212811|7292844|7058395|6983139"
"2021-2338","9912983"
"0:10-cv-61074","7509286|7680734|7519551|7933821|8311916"
"1:13-cv-01902","7062749|7603674"
"2:16-cv-01808","7420975|7774468|7164692"
"6:12-cv-00165","8480189"
"5:13-cv-00064","8558882"
"1:16-cv-11535",""
"2022-1617","7489786|8155342"
"1:13-cv-00631","8272037"
"3:14-cv-08030","7188145|7730262"
"1:19-cv-00046","7791761|8416444|7312897|7729008"
"2021-2319","5955955"
"3:13-cv-02444","5720158|5921584"
"2:23-cv-00590","6970461|7277533|7274704|5959990|7478167"
"1:15-cv-00826","9526844"
"5:20-cv-00223","6969390|5860973|6235028|6428542|6945933|6530929|5772661|7008422|7470236|6936051|6936050|6592586|6916320"
"1:16-cv-06846","8399085|8039078"
"2:14-cv-00403","6176898"
"23-1455","9512216"
"1:13-cv-01728","D554689|D692047|D662967|D700933|D556818|D676479|D649579|D724135|D547794|D676480"
"1:17-cv-02479","6585516"
"9:14-cv-81393","5345551"
"5:10-cv-00208","7219617|6792888|6986321"
"22-927","5583850|7221020|5974078|5986570|5801985|7106646|RE41562|5266925|RE41531|5880996|6459726|5500650|5627544|7265674|6975556|7389369"
"3:17-cv-00363","7228232"
"6:17-cv-00147","8603557|8293299|8511472"
"1:19-cv-05934","6447190"
"0:16-cv-01429","8346894"
"1:13-cv-01741","8007830"
"1:15-cv-10734","6359241"
"1:22-cv-00132","6047223"
"6:20-cv-00685","4877521|4735716|4948505"
"2019-1545","9419939|9253444|9154734"
"1:21-cv-04300","9742824|9729594"
"1:21-cv-00041","8321347|8620809|7912786|8131643"
"6:11-cv-00025","7369058|8330613"
"1:18-cv-00703","9742824|9762636|9729594"
"4:12-cv-01526","6952531|9184850|7058310|6957021|8086100|7502564|7050720|8515284|8849123|7184668|7079775|7162160|9577759"
"1:12-cv-01264","4188849"
"6:12-cv-00479","5963642"
"2:12-cv-01865","5930474"
"4:22-cv-01039","7631191"
"2:16-cv-00020","7924153|7843335|8099235|8144008|7970534"
"1:10-cv-04391","6743030"
"3:17-cv-03518","8146077|6384850|6871325"
"3:12-cv-06829","10019555"
"2:17-cv-02517","9009113"
"2012-5063","5942007"
"2:17-cv-00181","5712870|5444728|6977944|RE43086|6435686|6754195|6130761"
"2022-1824","6442485"
"1:23-cv-04282","6480962|6092194"
"4:14-cv-00073","6430603|7382334|RE39470"
"1:20-cv-00365","10600101"
"5:13-cv-04001","RE40041"
"2:10-cv-00336","7834586|8169187|8232766|7239111|8624550"
"1:12-cv-00189","6206055"
"3:14-cv-02235","7517334"
"1:21-cv-00276","6594633|7636687"
"3:22-cv-04928","6785606"
"2020-2102","5751345|5751346"
"2020-2274","7542874"
"5:10-cv-01140","7577867|7849361|7516287"
"2:11-cv-00152","5845070"
"1:16-cv-00772","5771020|7688214"
"2:18-cv-16234","8144158"
"2018-2416","5592555|5502689|5608873|5530597"
"1:22-cv-12116","9375405"
"3:15-cv-01424",""
"1:20-cv-00123","9326549|9326548"
"2:15-cv-00650","8590940|7950698"
"337-TA-1083","RE47813"
"1:17-cv-01174","8199747"
"1:19-cv-01167","6245819|8236861|8642079"
"5:07-cv-01269","8482136|9729214|7593202|8558591|10904058"
"2:16-cv-12985","7322010|6615365|7093086"
"337-TA-1153","10531728"
"2020-1014","6219674|6548472|662773|660646|8381712"
"6:22-cv-06368","5490216"
"1:14-cv-00730","7809866"
"1:15-cv-00849","7171912|7343867|6889620"
"6:13-cv-00283","9667534"
"4:20-cv-07656",""
"0:15-cv-04256","5944839|6925481|7254621|7065637|7596784|5825891|5495607|6738799"
"2:15-cv-02033","97498471|9749847|8892752|8738794"
"4:13-cv-13127","7084481|6900087"
"1:19-cv-02090","8363888|8705891"
"1:13-cv-01455","9916782|9349306"
"1:13-cv-01958","6920487|7231431"
"1:20-cv-01426","5400338|6480497"
"2:16-cv-11972","5579222"
"2:14-cv-00488","6552654"
"2:16-oe-00708","8874831|6026465|8301833"
"1:23-cv-01281","7117171"
"3:23-cv-00016","RE44186|8628799|7951400"
"6:19-cv-00469","6335031|6316023|5602176"
"1:12-cv-01619","RE43766"
"2:16-cv-00183","10026100|9830615"
"2017-1807","RE43529|7484247|RE43528|RE43500"
"1:11-cv-00917","6529561"
"2022-1958","9893215"
"4:14-cv-02683","7082437|5241671|7051018"
"1:18-cv-00184",""
"6:21-cv-00681","7584135"
"6:22-cv-00511","7277010"
"1:22-cv-22706","10008869"
"4:14-cv-01009","7099849"
"0:10-cv-04272","7007080|7502841|7526538"
"2:17-cv-00192","D655526|D655100"
"2:15-cv-01477","9161876|8511314|8464720"
"1:11-cv-00217","D654191|D649268"
"1:17-cv-02137","7156536"
"24-1267","7090622|6921354|5556369|7806814|8083653"
"2020-1566","7272639|5909492|5715314"
"1:11-cv-01373","8528117"
"3:20-cv-00756","11525741"
"2:19-cv-09402","5895488"
"6:15-cv-00963","4914853"
"8:16-cv-03108","D557478"
"1:14-cv-00284","7518990"
"3:12-cv-02806","5940510|6105013|5949880|6237095"
"1:18-cv-01482",""
"4:10-cv-00260","9706476"
"1:11-cv-00770","6573103"
"6:12-cv-00758","5519769|5425085"
"5:20-cv-01666","6309275|6641454|7068941|6497604"
"1:13-cv-00116","5734837|5630069|6073109|6058413"
"2:22-cv-11405","8156236"
"1:19-cv-00949","7631336|7159233|7716703|10506269|8434118|10028026|9998791|9648388|7590997|6314572"
"3:15-cv-00262","6857074|7895313|7934148|7895306|7836141"
"2016-1015","8705334|RE44633|7801016|8593931|7352685"
"2:13-cv-00352","6725967"
"1:12-cv-00931","5577746|5474316"
"6:22-cv-00032","11216164|11704006|11244273|11809691|11687218|11281739|11550453"
"3:12-cv-02877","6239124|5665772|6455518|6004973"
"2012-1503","6243391|6108347"
"5:19-cv-07256","6422435"
"6:16-cv-01060","10412558"
"3:11-cv-06626","5259996"
"2:14-cv-05084","7990912"
"6:17-cv-00435","5537533|6732359|6598131"
"2:15-cv-06683","6480753"
"3:16-cv-05182","6251889|6471998|6136317|RE39480|5948772|6143301"
"4:16-mc-02116","9606907|9535623"
"2017-2097","6953491|6599341|6440190"
"1:15-cv-00753","6078654|7724879|6496579|6188756"
"1:15-cv-00120","7145442"
"1:11-cv-00901",""
"3:15-cv-00918","9128981"
"2:15-cv-09170","7179483|7029694|8241662|8920392"
"2:19-cv-00390","8032907|6314577|7574721"
"3:12-cv-02248","8392311|7146336"
"8:18-cv-00402","9661905"
"1:13-cv-20652","8929555|7516177"
"5:10-cv-03014","5946611|7289763|6847822|6324404"
"6:15-cv-00634","5720894"
"4:21-cv-02592","8165024|7877786"
"1:13-cv-00578","7594852|7892094|7520812|6923721|5251898|7682244|7585220|7479065|7458890"
"1:11-cv-01120","8750784"
"2:15-cv-01395","10439896|10209953|9219959|8588949|9195258"
"1:13-cv-07900","9983836|7088855|6873743"
"3:18-cv-03018","8424752"
"1:22-cv-00479","9497137"
"6:15-cv-00212","6415280|7945544|7949662|5978791|7945539|7802310|8001096"
"4:18-cv-02918","10517584|10881440|10376259|9999449|9579129|9814453"
"1:10-cv-00462","7660700|7346472|8214175|7949494|8712728"
"3:12-cv-04719","6328994|7875292|7431942|7399485"
"4:18-cv-01433","5524085"
"3:17-cv-01928","9644126|9650555"
"1:19-cv-03233","RE44652"
"1:17-cv-07106","8138941"
"1:14-cv-01576","8927606|9561277|9144609|8669290|10085958|8129431|9517220|8871813|8754131"
"3:22-cv-00280","7425664"
"2:16-cv-00518","9579270"
"2:14-cv-00829","6192123"
"2:23-cv-00157","8353932|10561444|8696711|10441319|9788866|10722273|9808292|10335200"
"1:20-cv-00648","7917285"
"2:12-cv-00869","7306504"
"2:23-cv-00482","8266015"
"3:16-cv-01153","9853256"
"1:12-cv-00053","5912895|6587473|6327264"
"1:23-cv-00602","6889610|7278658|6584907"
"1:18-cv-01353","10263723|10771181|8238754|9887795|8958697|10763958"
"2012-1057","7090515"
"1:17-cv-01791","7200400|8146077|6384850|6871325"
"2:20-cv-05539","6594641"
"4:22-cv-01040","7287055|6917962|8176122|7647372|7299258|7734694|7975007|8117152|7062515|7590665|6223177|7320018"
"2:17-cv-02998","7127210|7184707|6885643|6928166|6831444"
"9:17-cv-80771","9712502|9712494|9838362"
"8:20-cv-00698","6999331|RE45259|6744653"
"6:20-cv-00320","8712846|8396743"
"2019-1766","10606414|10606416|10282035"
"2:10-cv-03897","7346472|8214175|7660700|7949494"
"2:10-cv-00599","7852995|7860225"
"3:12-cv-00456","9408993|8795741|8776795|8573209|8293284|8573210|8776794|9295802|9770570|8291904|8431163|9265911|8282966|9279794"
"2:13-cv-00600","5042009"
"1:14-cv-00617","8028546|8631751|7954343"
"3:13-cv-03075","5841840"
"4:11-cv-00310","4054626"
"2020-1043","D574495|D603502|D590943|D589626|D599906|7708761|D593202"
"1:14-cv-00134","5625776|7606739|8121904|8266015"
"2:13-cv-08181","6849067|6514187|6513221"
"1:15-cv-22200","7783252"
"3:11-cv-02463","5911140"
"1:17-cv-00231","6748194"
"2:13-cv-00057","7860648"
"6:16-cv-01353","9839637|7888362|8349840|RE48059|10307419|8618109"
"2:15-cv-00580","D761487|9968127"
"2:17-cv-03389","RE38040"
"1:21-cv-23312","7394392"
"2018-1971","6947748|7454212"
"2:14-cv-08154","5463750"
"2:18-cv-00508","D885018|8745893|D681927|D884323|D886435|9398786"
"1:15-cv-01222","D690707"
"1:21-cv-01483","7688214|5771020"
"2:11-cv-06089","9009113"
"0:22-cv-02841","6947748|7454212"
"1:21-cv-07238","9053494|7840437|8955029|8719090"
"1:14-cv-01243","7187709"
"2:18-cv-01084",""
"1:10-cv-00516","D640560"
"2:16-cv-01300","6222543"
"2:23-cv-00400","6266674"
"19-1061","8135342|8879987"
"1:17-cv-02067","5920853"
"2021-1571","8455531"
"2018-1947","7037755|8153505|7387944|7335572|7871898|8053329|7807549|6864585|7553744"
"5:12-cv-01533","5930474"
"4:20-cv-04069","9386094|8612515|7765482"
"6:12-cv-00244","10713388"
"1:14-cv-01366","8312668"
"6:11-cv-00690",""
"2:15-cv-05567","6218930"
"3:20-cv-20269","7739401|7260846|6954790"
"2:14-cv-01013","7159766|8193792|7325733"
"2:15-cv-00645","9132432"
"4:12-cv-00017","8518929|8524698|8440650|8377920|8546372|8367652|8293728|8357677|8415335|8617594|8431560|8426399|8318715|8399446"
"13-1350","6430603|7382334|6005534|RE39470"
"14-850","5621189"
"9:17-cv-81222",""
"2:17-cv-00410","9068673"
"1:19-cv-02113","8354437|8007826|8440703|8663685|5540938"
"1:11-cv-00081","6091956"
"1:11-cv-05193","6891633"
"2:13-cv-07543","8431598|8193219|7977357"
"3:10-cv-02315","10085937"
"6:15-cv-01007","7195472"
"2:11-cv-00272","8538011|8171561|8930719|7475246|5745569|8739295|7159116"
"23-1034",""
"9:15-cv-81086","4395269|4704414"
"3:15-cv-00329","8732781"
"1:18-cv-01230",""
"6:16-cv-01043","9349183"
"1:22-cv-01635","6538324"
"1:11-cv-02661","7454002"
"2:23-cv-03020","9399012|6992218"
"6:22-cv-01215","11468984"
"1:20-cv-00868","8156158"
"2:15-cv-01016","9686655"
"3:17-cv-00647","10021380"
"8:12-cv-01686","8914003"
"2021-2024","9344206|9967615|10779033|9219460|10469966"
"2018-1707","6851139|7574758"
"1:21-cv-00183","7318493|7677344"
"2:17-cv-00295","6888686"
"1:16-cv-04679","6349340"
"1:21-cv-01447","8099420|6928442|7802310"
"1:23-cv-01030","6826620"
"1:13-cv-12344","8081169"
"2:13-cv-00865","9957232"
"2012-1273","7156717"
"2:20-cv-00138","9456086|7023979|10491748|7269253|10237420"
"2:16-cv-00437","5592491|5663757|5481546|5388101"
"2:17-cv-02003","9477665|9501480"
"2:20-cv-01315","D603202"
"2:15-cv-00503","D368587|D373905"
"2:14-cv-00890","8941363"
"4:10-cv-00994","6848875|6935826"
"6:22-cv-00420","5845070"
"1:10-cv-10065","D689579"
"2:16-cv-00206","7752649|7752650|7747217"
"1:22-cv-00573","6202150"
"4:13-cv-01196","8785420|8936800|8703820|9387187|9814690|8445543"
"1:17-cv-08160","D561294|D576246|D611115"
"1:14-cv-00101","6585516"
"21-2340","7606115"
"1:12-cv-00276","8927606|8669290|8129431|8871813|8754131"
"0:15-cv-60979","7992354|7922354"
"2:23-cv-00312","8484698|8713701"
"1:17-cv-02078","6604836"
"1:14-cv-14706","6243391|6108347"
"1:10-cv-01127","5845000"
"1:13-cv-00152",""
"1:20-cv-01019","5751345|5751346"
"1:15-cv-01152",""
"6:14-cv-00412","8777699"
"5:21-cv-05304","6148232|6711435"
"2018-1711","7332277"
"3:12-cv-01358","6982542"
"6:22-cv-00316","7611033"
"1:19-cv-00685","7068684|8391298|7123699"
"1:20-cv-00451","8988616"
"1:18-cv-01713","6554760"
"8:20-cv-01795","6823475"
"1:16-cv-06623","6981222"
"2022-1093","6487656|5836013|6401202"
"1:15-cv-00158","6994172"
"5:21-cv-01595","8611404"
"2:19-cv-10099","8177084"
"2:11-cv-02498","7516192|7921186|7870249|7587469|7840420|7769605"
"3:13-cv-00473","8991677"
"1:12-cv-00188","610977|610975|610976|626913|458214|487424|615031|653200"
"2:14-cv-00238","6194871"
"3:11-cv-00991","6999331"
"5:15-cv-01139","7379784|7799273|7471991|7379783|8491839|7392107"
"2:15-cv-01154","7714747"
"6:20-cv-00608","8206514|7985302|7780794"
"5:23-cv-03107","10624902|11324756|11337986|11318146|11324754|11324755|11318147|11344560"
"2:12-cv-00805","6845336"
"2:11-cv-00072","5623660"
"1:12-cv-01750","9877999|9579359|8828938|9415085|8841081"
"1:18-cv-00553","6442485"
"337-TA-1184","7434674"
"2:20-cv-01570","6330549"
"4:23-cv-00498","9004276|D715635"
"8:21-cv-01130","7452185"
"3:22-cv-01653","9760312|9519434"
"2022-1696","9562375"
"1:18-cv-01027","6587046|6549130|6542076|7277010|7397363"
"2:19-cv-00298","10299708"
"1:11-cv-01242","6625122|6434145"
"5:23-cv-00092","8717203|9054728|9667751"
"1:18-cv-00707","8858534|8506554"
"2:17-cv-00210","7757175|8650493|8495585|8327271|8392890"
"2:16-cv-02529","7888078|7354744"
"2:18-cv-00130","7917285"
"6:17-cv-00209","9144700"
"4:16-cv-00876","8366525|9011223"
"2022-1178","RE42757"
"1:11-cv-00117","D671167|D701902"
"6:20-cv-00036","6108331"
"1:11-cv-04551","9486426"
"8:20-cv-00847","7456872"
"2022-1303","10945478|10786026|10980301"
"1:20-cv-00911","6570610|6002427"
"2:21-cv-00025","9430131"
"1:19-cv-01501","9917546|9057546"
"2:15-cv-07276","8724622|8995433|7535890|8243723"
"1:13-cv-20919","5817364"
"4:21-cv-03658","8982110|8982109"
"4:16-cv-06471","9799858|9799913|9496581|10804506|9153835"
"2012-1062","8103391|8291243"
"2:16-cv-00606","7036139"
"6:13-cv-01732","7239087|8223117"
"1:22-cv-00001","9369575|9173154|8861512|9591551"
"0:14-cv-01066","6345095|7590097"
"2017-1451","8112131"
"22-1526","8627211"
"2:16-cv-04971","5682526|5715451"
"2012-1507","7031657"
"22-1731","5963641|6076080|7050995"
"2:10-cv-05877","9490411|9537071"
"1:11-cv-07247","6963866|7552118|9141612|7836067"
"1:20-cv-01760","10273710"
"2022-1469","5506866"
"2:15-cv-06548","9509080"
"3:18-cv-02053","6150947"
"2:14-cv-00339","D542495|D565268"
"3:12-cv-01407","11384086"
"2010-1266","9411910"
"6:20-cv-00964","7221387"
"3:16-cv-05606","7917285"
"2:23-cv-00398","5874471|6028107"
"3:12-cv-01312","9099894|9048696|9006937"
"1:13-cv-01180","8899239"
"2:14-cv-00533","11630837"
"2:21-cv-00061","6795524|6795805|7151802|7191123|7260521|6807524"
"5:16-cv-00793","6974475"
"6:22-cv-00801","9959593|6678838|7414606"
"1:15-cv-02297","6321095"
"6:21-cv-01183",""
"3:10-cv-00296","7088233"
"6:21-cv-00927","8528117"
"6:11-cv-00622","11063766|10992480"
"2:11-cv-00064","8224913|8468199|8204389|8504628"
"6:14-cv-00205","7916877"
"1:12-cv-00672","8609416"
"8:11-cv-00533","9135800"
"1:17-cv-03217","6427078"
"6:23-cv-00388","6314420|6775664|6029161|6308175"
"1:13-cv-21652","7567498"
"1:22-cv-04557","6677212|6291861"
"2017-1833","10561714|10568943|10548954"
"1:12-cv-00355","5511122"
"8:23-cv-02396","5881142"
"1:16-cv-02184",""
"2:12-cv-00434","5742737|5839108|5491774"
"2:23-cv-00053","7137224"
"1:14-cv-01182","5805173"
"2018-2097","7917285"
"3:15-cv-00463","7346950"
"1:20-cv-00482","10389396"
"3:11-cv-00910","5897625|7653600|7991696|8121948"
"1:17-cv-13563","7052456|6189533"
"2:10-cv-00029","7069546"
"6:17-cv-00182","8688990|8375212"
"8:15-cv-00910","RE40753"
"2011-1634","6480064"
"20-1451","7959036"
"2:23-cv-08949","6403649|7388029|7351404"
"6:22-cv-01307","7947724|8729094|7947725|8598219|7960424"
"3:14-cv-02077","6851115"
"2:21-cv-01310","6509841"
"6:22-cv-00128","7172487|6659838|7223151"
"8:20-cv-01538","RE41189|10889171|6858078|5628824|4124690|6811610|5449412"
"4:19-cv-00042","10058702|9884141|9144676"
"4:23-cv-00990","8615700"
"1:21-cv-00113","7388029|9579270"
"1:11-cv-00588","5061703"
"3:12-cv-00209","7454002"
"1:14-cv-00769","6475243"
"1:10-cv-01534","5468149"
"1:12-cv-01744","7030781|6952645|7400970|6714859|6904359|6486801"
"2:15-cv-01382","7451987|7325806"
"1:13-cv-02012","7206762"
"1:14-cv-10153","4506071"
"2015-1890","9202205|9373104"
"4:20-cv-00392","6891633"
"1:20-cv-01721","7847079"
"1:21-cv-01813","7010508"
"2:15-cv-00740","D498521"
"1:21-cv-21678","RE46116"
"5:18-cv-05561","10245075"
"1:19-cv-01777","10726436|9741050"
"2:18-cv-08267","7785908|7569865|8502248|9209360|9640713|8236585|7582912"
"6:20-cv-00830","7952483|8427325|8159354|9427659|7292151"
"2:11-cv-11039","7396760|7260803|7149989|7007259|6436807|7231626"
"1:22-cv-00566","8146077|6982733|6384850|6871325"
"3:23-cv-01079","8851800|8821073"
"2019-1323","9569755"
"2:15-cv-03011","8375187|7434015|6904556|7373464|6915475"
"6:21-cv-00402","7469052"
"6:15-cv-00018","9188593|10107812|10087408|10421936|10466241|10578618|10274494"
"0:23-cv-60848","9381183|9115078"
"2:18-cv-00309","8560836"
"2:11-cv-00073","6415207|7400970|6763299|6904359"
"6:21-cv-01021",""
"2:15-cv-00730","RE44652"
"1:18-cv-01541","5502914"
"21-893","10488897|11598345|11028854"
"1:10-cv-06236","7460520"
"1:10-cv-00917","6534805"
"1:18-cv-01523","7873548"
"1:23-cv-18420","6258044"
"6:21-cv-06608","5781784"
"2:14-cv-05694","8348554"
"337-TA-1107","8093296|7915269|8415396|7619004|7981938|7964647|8440722|7820681|8440721|8097655|7601758|7964648|8415395|8093297"
"1:22-cv-00381","5495874"
"2:14-cv-01290","6574239|8291010|8266296"
"5:20-cv-03622","9220698|9161920|8852636|9198888|8865190|8858996"
"2:12-cv-05455","7516177"
"1:13-cv-00916","6330549"
"2:14-cv-00384","8106766|7768395|8405504"
"3:17-cv-07887","10736861"
"3:20-cv-01157","RE39198"
"3:23-cv-00756","5712298"
"1:11-cv-03912","7539947|7313765"
"2:16-cv-00282","5969324|RE43715|6782370"
"2:19-cv-01366","7915631|7901959|8309375|7855092"
"1:17-cv-01266","7822777|7685156"
"8:17-cv-01461","6216139"
"9:14-cv-81392","RE44652"
"2012-1185","7219902"
"3:14-cv-07891","7218923"
"2:23-cv-01921","D885017|D870425|D885016|D909718|D925874"
"1:11-cv-01243","6895554"
"3:18-cv-00134","6415207|7400970|6763299|6904359"
"23-1941","7565359|8352854|9626342|5983227|7171414"
"1:13-cv-23309","7626501|7518521|D543590"
"8:23-cv-01968","6622018"
"2:14-cv-01071","7000894"
"6:13-cv-00574","6266674"
"2:17-cv-04992","10589320|10562077|10259020|10259021"
"3:11-cv-01810","5535320"
"2:19-cv-17170","6465504"
"5:21-cv-07476","8913898|8374511|6469816|6476952|7099592|6594055|7620327"
"3:17-cv-00745",""
"2:15-cv-00311","4365873|5078486"
"8:15-cv-00378","7231379"
"6:22-cv-00986","8214175"
"3:22-cv-05134","7907931"
"2:12-cv-02427","6359879"
"1:11-cv-11030","10625149|10549187|10610771"
"1:12-cv-00007","7456872"
"2:13-cv-00645","6719241"
"2:12-cv-00611","7027773"
"6:22-cv-00086","7501409|6656935"
"1:12-cv-02820","6225474"
"2:13-cv-00374","8518929|8524698|8440650|8377920|8546372|8367652|8357677|8293728|8415335|8617594|8426399|8318715"
"1:19-cv-10594","7137140"
"2:11-cv-00166","6299592"
"1:13-cv-00258","7030781|6952645|7400970|6714859|6904359|6486801"
"3:16-xc-01336","8936848"
"2:12-cv-00416",""
"2:14-cv-02643","7196477|8362700|7377667|7429827"
"2017-1878","6075912"
"4:15-cv-00740","D946850|D945728|D945729|D945730"
"2:12-cv-00650","7621236"
"2:15-cv-00867","5251294"
"5:19-cv-04355","7432868"
"6:15-cv-00216",""
"2:14-cv-00644","7437535"
"8:18-cv-01679","7719963|7103046|6553005"
"2018-1954","9311485"
"5:18-cv-00715","8717203|9116908|9054728|9667751"
"22-1850","9047170"
"1:10-cv-00595","9179711"
"2011-1467","RE44652"
"8:15-cv-00953","7370285|6928392|8041805|8024668|7085820|6606581|6421724"
"1:22-cv-01410","8424119|8453270|D670435|D650529"
"1:12-cv-00496","7356677|6690400"
"2:16-cv-01344","6272533"
"1:10-cv-00433","8671195"
"1:22-cv-05791","D577601"
"8:13-cv-01272","9936086"
"2020-2215","9555029|9399036|8927607|9789108|9675613"
"1:12-cv-00810","10844697"
"3:16-cv-01280","7256683|7834744|8816869|8912893"
"1:21-cv-01711","6272533"
"2:23-cv-00190","8488115|8351027"
"1:16-cv-04400","7305707"
"3:19-cv-05639","4813056"
"5:15-cv-00165","6503946"
"2:15-cv-00392","9280886|8912893"
"6:21-cv-00904","7878493"
"2:13-cv-01271","8286750"
"1:20-cv-01756",""
"1:12-cv-01192","6679266|6145505"
"1:11-cv-00379","5664110"
"2:13-cv-01616","5630069"
"2:10-cv-00546","6546397|7594168"
"3:17-cv-02335","10165253"
"1:19-cv-02120","6574267"
"6:21-cv-00483","8133893"
"1:11-cv-06941","8246979|8617591|6884434|8246980"
"2019-1061","6087383"
"3:15-cv-03795","6546397|7594168"
"2:10-cv-02442","9375405"
"2:22-cv-00258","8586610|RE39198"
"2:19-cv-06359","6377685"
"1:13-cv-01206","6356853"
"1:10-cv-00675","5434562|6212635"
"8:11-cv-01759","8346894"
"1:13-cv-03006","8015495|6161149|6772229"
"2019-1117","8255439|6006227|7865538"
"2:15-cv-09804","6202150"
"2:21-cv-00184","9686655"
"23-1736","9630756|7118003|7073680"
"0:20-cv-01650","8839802"
"4:10-cv-00431","D361975"
"2:14-cv-00180","10696347|10538286"
"1:20-cv-00379","5930444"
"1:13-cv-00751","9751447"
"2017-2614","7406663"
"1:18-cv-00979","6313992"
"3:16-cv-00049","8301108"
"2:12-cv-00867","6489589"
"2:17-cv-00291","9925959"
"1:19-cv-01019","5826245"
"2:13-cv-05499",""
"2:21-cv-00349","6397143"
"2:11-cv-00401","7430471"
"0:13-cv-00055","7698019"
"2:16-cv-01477","D696456"
"6:22-cv-00061","6690387"
"3:11-cv-02546","5532372"
"2:16-cv-00548","9107900|8410167"
"2:20-cv-07094","8067719"
"23-1957","6661783"
"2020-1611","8248940"
"2:11-cv-00507","10514832|9990112"
"4:19-cv-01977","8418739"
"1:19-cv-00956","5373149|5206854|5251328|6236717|5828657|5719922|5812537|6970501|5444704|7894472"
"5:15-cv-00009","8157136"
"1:22-cv-00411","8295400|8934851|8737377|8412115|7873389|7369878|7454234|7962103|9270024"
"4:23-cv-00884","8044942"
"2:20-cv-01014","6485041"
"2012-1440","8717203|9116908|9054728|9667751"
"2017-1157","8307047|8140384|7941345|7580858|7987139|8065386"
"1:23-cv-05405","7030330"
"3:19-cv-00922","5625776|7606739|8266015"
"2:17-cv-00013","9608472"
"2022-1203","7020845|7441196"
"1:10-cv-00826","11455678|10846785|11157995|11488237"
"21-2103","7058822|8677494|8225408|8141154|7647633"
"2:17-cv-07349",""
"1:12-cv-00787","6411943|5771354|5901228|7080051"
"2018-1248","8999029"
"2:13-cv-00523","6176504"
"3:20-cv-00204","6972790|8537242"
"2:11-cv-03685","7187947|7324833|7634228|7953390|8359007"
"3:11-cv-06918","6155840"
"2:10-cv-00300","5937176|6112264|5884096"
"8:19-cv-01030","7197535|7836163|7418476"
"1:23-cv-13127","7145476"
"2:14-cv-05888","8795020"
"2:14-cv-02268","4794724"
"1:21-cv-00637","6917876"
"2015-1732","7732488"
"2:20-cv-09085","5929852|5481721|6275983|5915131|5519867|5946647|6343263|39486|5566337|5969705"
"6:20-cv-02270","7546411|6973535"
"2014-1085","RE42219"
"1:21-cv-01464","8712846|8396743"
"2:12-cv-00533","6560290"
"6:14-cv-00249","8833393"
"1:21-cv-01408","6321095"
"1:13-cv-00663","6219710|6094676"
"3:11-cv-02399","8643875"
"2:11-cv-00248","10775377|10775378|10775376"
"2:18-cv-00375","6149271"
"2:23-cv-00529","8135342|8879987"
"2017-2074","6733357|6599160|D474421|D527681"
"2:14-cv-00349","5535320"
"6:17-cv-00211","9399152"
"2:13-cv-00323",""
