"","prejudice_trans","treat_ind","white","hispanic","black","age","female","racename","democrat"
"140",50,0,1,0,0,81,1,"black",0
"141",52,0,1,0,0,62,1,"black",1
"142",50,1,0,1,0,42,0,"white",0
"143",50,1,0,0,1,43,1,"hispanic",0
"144",73,1,0,0,1,84,0,"hispanic",0
"145",100,0,1,0,0,57,1,"black",1
"146",50,1,0,1,0,57,1,"white",0
"147",0,1,1,0,0,41,1,"black",0
"148",0,1,1,0,0,19,1,"black",0
"149",95,0,1,0,0,31,0,"black",1
"150",49,1,0,0,1,38,1,"hispanic",0
"151",50,1,1,0,0,63,1,"black",1
"152",50,1,1,0,0,23,0,"black",1
"153",60,1,1,0,0,69,1,"black",1
"154",50,1,1,0,0,47,1,"black",1
"155",50,0,0,0,1,20,1,"hispanic",1
"156",100,1,1,0,0,46,1,"black",0
"157",50,0,1,0,0,55,1,"black",1
"158",100,1,0,0,1,41,1,"hispanic",1
"159",100,0,1,0,0,27,0,"black",0
"160",50,0,1,0,0,24,1,"black",1
"161",50,0,1,0,0,47,1,"black",1
"162",19,0,0,0,1,70,0,"hispanic",1
"163",50,1,0,1,0,57,1,"white",0
"164",50,1,1,0,0,58,1,"black",1
"165",100,1,1,0,0,45,1,"black",1
"166",98,1,1,0,0,58,0,"black",1
"167",98,1,0,1,0,41,1,"white",0
"168",100,1,0,1,0,36,0,"white",0
"169",2,1,1,0,0,42,1,"black",1
"170",31,1,1,0,0,61,1,"black",1
"171",100,0,1,0,0,34,1,"black",1
"172",25,0,1,0,0,22,0,"black",1
"173",100,1,1,0,0,43,0,"black",0
"174",50,1,1,0,0,55,1,"black",1
"175",50,0,1,0,0,61,1,"black",1
"176",0,0,0,1,0,69,0,"white",1
"177",100,0,1,0,0,49,1,"black",1
"178",50,1,1,0,0,31,1,"black",1
"179",15,0,1,0,0,50,1,"black",1
"180",50,1,1,0,0,18,0,"black",1
"181",51,0,0,0,1,43,0,"hispanic",0
"182",50,1,1,0,0,36,1,"black",1
"183",50,0,0,1,0,50,1,"white",1
"184",0,0,0,0,1,49,1,"hispanic",1
"185",0,0,1,0,0,44,1,"black",1
"186",1,0,1,0,0,34,1,"black",1
"187",50,1,1,0,0,53,1,"black",1
"188",50,0,0,1,0,50,0,"white",1
"189",0,1,0,1,0,59,0,"white",0
"190",50,1,0,1,0,56,1,"white",1
"191",29,0,1,0,0,55,0,"black",1
"192",82,0,0,1,0,27,1,"white",1
"193",50,1,1,0,0,38,0,"black",0
"194",50,1,0,0,1,38,1,"hispanic",0
"195",50,1,1,0,0,43,1,"black",1
"196",91,1,1,0,0,44,0,"black",1
"197",25,1,1,0,0,26,1,"black",1
"198",50,1,1,0,0,53,1,"black",1
"199",87,0,1,0,0,55,1,"black",1
"200",100,0,1,0,0,23,0,"black",1
"201",50,1,1,0,0,25,1,"black",1
"202",50,1,1,0,0,40,1,"black",1
"203",50,1,1,0,0,26,1,"black",1
"204",50,0,1,0,0,58,1,"black",1
"205",50,0,1,0,0,37,1,"black",1
"206",51,1,1,0,0,19,1,"black",1
"207",100,1,1,0,0,77,1,"black",1
"208",50,1,1,0,0,62,0,"black",1
"209",50,0,1,0,0,75,1,"black",1
"210",63,0,1,0,0,56,1,"black",1
"211",0,0,1,0,0,57,1,"black",1
"212",100,1,1,0,0,26,0,"black",1
"213",70,1,1,0,0,21,0,"black",1
"214",39,1,1,0,0,30,0,"black",1
"215",50,0,0,1,0,68,0,"white",0
"216",98,0,1,0,0,51,1,"black",1
"217",50,1,1,0,0,75,1,"black",1
"218",0,0,1,0,0,18,1,"black",1
"219",0,0,0,0,1,42,1,"hispanic",1
"220",0,1,0,0,1,22,1,"hispanic",0
"221",50,1,1,0,0,45,1,"black",1
"222",0,1,1,0,0,22,1,"black",1
"223",50,0,1,0,0,72,0,"black",1
"224",50,0,1,0,0,60,1,"black",1
"225",100,1,1,0,0,52,1,"black",1
"226",50,1,1,0,0,61,0,"black",1
"227",52,0,1,0,0,66,1,"black",1
"228",100,1,0,0,1,23,1,"hispanic",0
"229",50,0,0,0,1,49,0,"hispanic",0
"230",50,0,0,0,1,51,1,"hispanic",0
"231",33,0,1,0,0,22,0,"black",1
"232",21,0,1,0,0,60,1,"black",1
"233",73,0,1,0,0,39,1,"black",1
"234",100,0,1,0,0,24,1,"black",1
"235",100,0,1,0,0,21,0,"black",1
"236",19,1,0,0,1,68,0,"hispanic",0
"237",6,1,0,0,1,68,1,"hispanic",1
"238",50,1,0,1,0,66,1,"white",1
"239",50,0,1,0,0,19,1,"black",0
"240",0,0,0,0,1,32,1,"hispanic",1
"241",0,0,0,1,0,32,0,"white",1
"242",50,0,0,1,0,68,1,"white",1
"243",50,1,0,1,0,88,1,"white",1
"244",66,1,1,0,0,62,0,"black",1
"245",94,0,1,0,0,32,0,"black",1
"246",50,0,0,0,1,68,1,"hispanic",1
"247",19,0,0,1,0,59,0,"white",1
"248",28,0,0,1,0,56,1,"white",1
"249",63,0,1,0,0,81,0,"black",1
"250",50,0,1,0,0,24,1,"black",1
"251",50,0,1,0,0,66,1,"black",1
"252",50,1,1,0,0,47,1,"black",1
"253",50,0,1,0,0,46,1,"black",1
"254",50,0,1,0,0,24,0,"black",0
"255",50,0,1,0,0,30,0,"black",1
"256",0,0,0,0,1,75,1,"hispanic",1
"257",100,0,1,0,0,44,1,"black",1
"258",98,0,1,0,0,46,0,"black",1
"259",0,0,1,0,0,23,1,"black",1
"260",50,1,0,0,1,60,1,"hispanic",0
"261",50,1,0,1,0,67,0,"white",1
"262",50,1,0,1,0,62,0,"white",1
"263",0,1,0,1,0,61,1,"white",1
"264",50,1,0,1,0,27,0,"white",1
"265",10,1,0,0,1,61,0,"hispanic",1
"266",0,1,0,0,1,27,1,"hispanic",1
"267",0,1,1,0,0,51,1,"black",1
"268",50,1,0,0,1,19,0,"hispanic",0
"269",50,0,0,0,1,43,1,"hispanic",0
"270",50,0,0,0,1,45,0,"hispanic",0
"271",50,1,1,0,0,51,1,"black",1
"272",50,1,1,0,0,31,0,"black",1
"273",50,1,1,0,0,30,0,"black",1
"274",50,0,0,1,0,50,0,"white",1
"275",50,1,0,1,0,33,0,"white",0
"276",100,0,0,0,1,19,0,"hispanic",0
"277",100,0,1,0,0,28,0,"black",1
"278",67,0,1,0,0,56,1,"black",1
"279",68,1,1,0,0,39,1,"black",1
"280",50,1,0,0,1,60,1,"hispanic",0
"281",98,1,1,0,0,36,1,"black",1
"282",50,0,1,0,0,25,1,"black",1
"283",100,0,0,0,1,30,0,"hispanic",0
"284",79,0,0,0,1,25,0,"hispanic",0
"285",100,1,1,0,0,25,0,"black",1
"286",50,0,1,0,0,41,0,"black",1
"287",50,0,0,0,1,18,0,"hispanic",0
"288",50,0,0,0,1,64,1,"hispanic",1
"289",50,1,0,1,0,54,1,"white",1
"290",42,0,1,0,0,58,1,"black",1
"291",74,1,0,0,1,30,0,"hispanic",0
"292",50,1,0,1,0,28,1,"white",0
"293",20,0,1,0,0,28,1,"black",1
"294",79,1,0,0,1,54,1,"hispanic",1
"295",100,0,0,0,1,51,0,"hispanic",1
"296",50,0,0,1,0,37,1,"white",0
"297",50,1,0,0,1,62,0,"hispanic",1
"298",50,1,0,0,1,51,1,"hispanic",1
"299",50,0,1,0,0,42,1,"black",1
"300",87,0,1,0,0,51,0,"black",1
"301",50,0,0,0,1,37,1,"hispanic",0
"302",50,0,0,1,0,87,1,"white",1
"303",50,0,0,0,1,54,0,"hispanic",1
"304",56,1,1,0,0,43,0,"black",0
"305",50,1,1,0,0,45,1,"black",1
"306",0,1,0,1,0,60,1,"white",1
"307",50,1,0,1,0,64,0,"white",0
"308",50,0,1,0,0,40,1,"black",1
"309",78,0,0,0,1,63,1,"hispanic",0
"310",50,1,1,0,0,62,0,"black",1
"311",50,1,0,1,0,61,1,"white",1
"312",50,1,0,1,0,57,0,"white",0
"313",50,1,0,1,0,61,1,"white",1
"314",50,1,1,0,0,53,1,"black",1
"315",50,1,0,0,1,72,0,"hispanic",1
"316",62,0,0,0,1,63,0,"hispanic",0
"317",50,0,0,0,1,57,0,"hispanic",0
"318",69,0,0,0,1,32,1,"hispanic",0
"319",50,1,1,0,0,65,1,"black",1
"320",0,0,0,0,1,49,0,"hispanic",0
"321",50,0,0,0,1,55,0,"hispanic",0
"322",50,1,0,1,0,58,0,"white",1
"323",0,0,0,1,0,67,0,"white",0
"324",4,0,0,1,0,54,1,"white",0
"325",50,0,1,0,0,52,1,"black",1
"326",100,1,1,0,0,34,0,"black",0
"327",100,1,1,0,0,22,1,"black",0
"328",99,0,1,0,0,44,0,"black",0
"329",40,1,0,0,1,71,1,"hispanic",1
"330",50,1,0,0,1,74,0,"hispanic",1
