"","age","female","voted","racename","democrat","HispanOld"
"636",26,1,1,"African American",1,FALSE
"637",59,0,1,"Hispanic",0,FALSE
"638",77,0,1,"Hispanic",1,TRUE
"639",72,1,0,"Hispanic",1,TRUE
"640",30,1,1,"African American",1,FALSE
"641",21,1,0,"Hispanic",1,FALSE
"642",73,1,0,"Hispanic",0,TRUE
"643",31,1,1,"Caucasian",1,FALSE
"644",20,1,0,"Caucasian",1,FALSE
"645",41,0,0,"African American",1,FALSE
"646",17,1,0,"Hispanic",1,FALSE
"647",16,0,0,"Hispanic",1,FALSE
"648",51,1,0,"Hispanic",1,FALSE
"649",24,0,0,"Hispanic",1,FALSE
"650",60,1,1,"African American",1,FALSE
"651",47,1,1,"African American",1,FALSE
"652",30,1,0,"Caucasian",0,FALSE
"653",59,1,1,"Hispanic",0,FALSE
"654",67,0,1,"Caucasian",0,FALSE
"655",23,NA,0,"Hispanic",0,FALSE
"656",20,1,0,"Hispanic",0,FALSE
"657",53,0,0,"Hispanic",1,FALSE
"658",64,1,1,"Hispanic",0,TRUE
"659",29,1,1,"Hispanic",1,FALSE
"660",38,1,1,"African American",1,FALSE
"661",62,0,1,"Caucasian",1,FALSE
"662",32,1,1,"Hispanic",1,FALSE
"663",42,1,1,"Caucasian",1,FALSE
"664",63,1,1,"Caucasian",0,FALSE
"665",68,1,1,"African American",1,FALSE
"666",35,1,1,"Caucasian",0,FALSE
"667",71,NA,1,"African American",1,FALSE
"668",18,1,0,"African American",1,FALSE
"669",26,1,1,"African American",1,FALSE
"670",22,1,0,"Hispanic",0,FALSE
"671",19,1,0,"Hispanic",NA,FALSE
"672",56,1,0,"Caucasian",1,FALSE
"673",84,1,1,"Hispanic",0,TRUE
"674",25,1,0,"Hispanic",1,FALSE
"675",19,0,1,"Hispanic",0,FALSE
"676",31,1,0,"Hispanic",0,FALSE
"677",54,1,1,"African American",1,FALSE
"678",44,0,1,"Hispanic",0,FALSE
"679",43,1,1,"Hispanic",0,FALSE
"680",68,1,1,"Asian",1,FALSE
"681",32,1,1,"African American",0,FALSE
"682",61,NA,1,"African American",1,FALSE
"683",43,1,1,"African American",1,FALSE
"684",59,0,0,"Caucasian",0,FALSE
"685",63,1,1,"Hispanic",0,TRUE
"686",48,1,0,"Hispanic",0,FALSE
"687",39,1,0,"African American",1,FALSE
"688",49,0,1,"Hispanic",0,FALSE
"689",39,1,1,"Hispanic",0,FALSE
"690",60,1,1,"African American",1,FALSE
"691",35,0,1,"Hispanic",1,FALSE
"692",18,1,0,"African American",0,FALSE
"693",45,1,0,"African American",0,FALSE
"694",48,1,1,"African American",1,FALSE
"695",72,1,1,"Caucasian",1,FALSE
"696",66,1,1,"African American",NA,FALSE
"697",34,0,1,"African American",1,FALSE
"698",65,0,1,"Hispanic",0,TRUE
"699",28,1,1,"African American",1,FALSE
"700",53,1,1,"African American",1,FALSE
"701",51,0,1,"Hispanic",0,FALSE
"702",43,1,0,"Hispanic",0,FALSE
"703",43,0,0,"Hispanic",0,FALSE
"704",58,1,1,"Hispanic",0,FALSE
"705",32,1,0,"African American",1,FALSE
"706",33,0,1,"Hispanic",0,FALSE
"707",44,0,0,"Hispanic",0,FALSE
"708",40,1,1,"Hispanic",0,FALSE
"709",41,0,1,"Hispanic",0,FALSE
"710",68,1,1,"Hispanic",0,TRUE
"711",35,1,0,"African American",1,FALSE
"712",25,1,1,"African American",1,FALSE
"713",19,0,0,"African American",1,FALSE
"714",56,1,1,"African American",1,FALSE
"715",66,1,1,"Caucasian",1,FALSE
"716",42,0,1,"Caucasian",0,FALSE
"717",34,0,1,"African American",1,FALSE
"718",50,0,1,"Caucasian",1,FALSE
"719",51,0,1,"Hispanic",0,FALSE
"720",19,1,1,"Hispanic",0,FALSE
"721",64,1,0,"African American",1,FALSE
"722",44,0,0,"African American",1,FALSE
"723",50,1,0,"African American",1,FALSE
"724",53,1,1,"African American",1,FALSE
"725",41,1,1,"Caucasian",0,FALSE
"726",19,1,0,"Caucasian",0,FALSE
"727",55,1,1,"African American",1,FALSE
"728",60,0,1,"African American",0,FALSE
"729",23,0,0,"African American",1,FALSE
"730",70,0,1,"African American",1,FALSE
"731",51,1,1,"African American",1,FALSE
"732",32,0,0,"African American",1,FALSE
"733",53,1,1,"African American",1,FALSE
"734",23,1,0,"Hispanic",0,FALSE
"735",36,1,1,"African American",1,FALSE
"736",66,0,1,"Hispanic",1,TRUE
"737",24,0,1,"African American",1,FALSE
"738",55,1,1,"African American",1,FALSE
"739",22,0,0,"African American",1,FALSE
"740",59,1,1,"Hispanic",1,FALSE
"741",40,1,1,"African American",1,FALSE
"742",25,1,1,"Hispanic",0,FALSE
"743",20,1,0,"Hispanic",0,FALSE
"744",58,0,1,"African American",1,FALSE
"745",71,0,1,"Caucasian",1,FALSE
"746",39,1,1,"Hispanic",0,FALSE
"747",42,0,0,"African American",0,FALSE
"748",23,0,1,"African American",0,FALSE
"749",58,0,1,"Hispanic",0,FALSE
"750",28,1,1,"Hispanic",0,FALSE
"751",37,0,1,"African American",NA,FALSE
"752",23,1,0,"Caucasian",0,FALSE
"753",49,0,1,"African American",1,FALSE
"754",29,1,0,"African American",1,FALSE
"755",45,1,0,"Hispanic",0,FALSE
"756",52,1,1,"African American",1,FALSE
"757",20,0,0,"African American",1,FALSE
"758",73,0,1,"African American",1,FALSE
"759",63,0,1,"African American",1,FALSE
"760",30,1,1,"African American",1,FALSE
"761",31,1,0,"Hispanic",0,FALSE
"762",30,1,0,"Hispanic",0,FALSE
"763",77,0,1,"Caucasian",1,FALSE
"764",67,1,1,"Caucasian",1,FALSE
"765",29,1,0,"Caucasian",0,FALSE
"766",19,0,0,"African American",1,FALSE
"767",21,1,1,"African American",1,FALSE
"768",27,0,1,"Hispanic",1,FALSE
"769",37,1,1,"African American",1,FALSE
"770",19,0,0,"African American",NA,FALSE
"771",55,0,1,"African American",1,FALSE
"772",43,1,0,"Hispanic",1,FALSE
"773",57,0,0,"Hispanic",0,FALSE
"774",65,0,1,"Caucasian",1,FALSE
"775",46,0,1,"Caucasian",1,FALSE
"776",54,0,1,"Caucasian",1,FALSE
"777",73,0,1,"African American",1,FALSE
"778",24,1,1,"African American",1,FALSE
"779",20,0,1,"African American",1,FALSE
"780",66,0,1,"Caucasian",0,FALSE
"781",20,0,1,"Hispanic",1,FALSE
"782",19,0,1,"African American",1,FALSE
"783",44,0,1,"Hispanic",0,FALSE
"784",63,0,0,"African American",1,FALSE
"785",22,1,1,"African American",NA,FALSE
"786",25,0,1,"African American",1,FALSE
"787",66,1,1,"Caucasian",0,FALSE
"788",48,0,0,"Caucasian",1,FALSE
"789",57,1,0,"Caucasian",1,FALSE
"790",58,0,1,"Caucasian",1,FALSE
"791",65,0,1,"African American",1,FALSE
"792",21,0,0,"African American",1,FALSE
"793",43,1,1,"African American",1,FALSE
"794",58,1,1,"African American",1,FALSE
"795",21,1,0,"African American",0,FALSE
"796",63,1,1,"African American",1,FALSE
"797",64,1,1,"African American",1,FALSE
"798",73,1,1,"African American",1,FALSE
"799",53,1,1,"African American",1,FALSE
"800",61,1,1,"African American",1,FALSE
"801",37,1,1,"African American",1,FALSE
"802",22,0,0,"Hispanic",1,FALSE
"803",55,1,0,"African American",1,FALSE
"804",33,1,0,"African American",1,FALSE
"805",72,1,0,"African American",1,FALSE
"806",19,1,0,"African American",1,FALSE
"807",38,1,0,"African American",1,FALSE
"808",34,1,1,"African American",0,FALSE
"809",38,0,0,"African American",1,FALSE
"810",46,0,1,"African American",1,FALSE
"811",45,1,1,"African American",0,FALSE
"812",70,1,1,"African American",1,FALSE
"813",38,1,1,"African American",0,FALSE
"814",19,0,1,"African American",1,FALSE
"815",30,0,1,"Caucasian",1,FALSE
"816",66,1,1,"African American",1,FALSE
"817",75,1,1,"African American",1,FALSE
"818",56,1,1,"African American",1,FALSE
"819",20,1,0,"African American",1,FALSE
"820",68,1,1,"African American",1,FALSE
"821",45,1,0,"African American",1,FALSE
"822",45,1,1,"African American",1,FALSE
"823",19,1,0,"African American",1,FALSE
"824",69,1,1,"African American",1,FALSE
"825",77,0,1,"African American",1,FALSE
"826",24,1,1,"African American",NA,FALSE
"827",30,0,1,"Native American",1,FALSE
"828",41,1,1,"African American",1,FALSE
"829",66,1,1,"African American",0,FALSE
"830",71,1,0,"African American",1,FALSE
"831",35,1,0,"African American",1,FALSE
"832",32,1,0,"African American",1,FALSE
"833",56,NA,1,"African American",1,FALSE
"834",61,0,1,"African American",1,FALSE
"835",21,1,0,"African American",0,FALSE
"836",18,0,0,"African American",1,FALSE
"837",21,1,1,"Hispanic",1,FALSE
"838",53,0,1,"Hispanic",0,FALSE
"839",39,1,0,"Hispanic",0,FALSE
"840",36,0,1,"African American",1,FALSE
"841",35,1,0,"Hispanic",0,FALSE
"842",65,1,0,"African American",1,FALSE
"843",24,1,0,"Hispanic",0,FALSE
"844",52,1,1,"African American",1,FALSE
"845",27,0,0,"African American",1,FALSE
"846",89,1,1,"Hispanic",1,TRUE
"847",18,1,0,"Caucasian",0,FALSE
"848",24,0,0,"Caucasian",0,FALSE
"849",36,1,1,"Hispanic",0,FALSE
"850",64,1,1,"African American",1,FALSE
"851",45,0,1,"African American",1,FALSE
"852",20,1,0,"African American",1,FALSE
"853",58,1,1,"Caucasian",1,FALSE
"854",49,0,1,"African American",1,FALSE
"855",56,0,1,"African American",1,FALSE
"856",55,1,1,"African American",1,FALSE
"857",61,1,1,"African American",1,FALSE
"858",20,0,1,"African American",1,FALSE
"859",50,0,1,"African American",0,FALSE
"860",49,1,1,"African American",1,FALSE
"861",67,0,NA,"Caucasian",1,FALSE
"862",24,1,1,"Caucasian",1,FALSE
"863",33,0,0,"Hispanic",1,FALSE
"864",35,0,0,"Hispanic",0,FALSE
"865",24,1,0,"Hispanic",1,FALSE
"866",35,1,1,"Native American",1,FALSE
"867",27,0,1,"Hispanic",1,FALSE
"868",65,1,1,"African American",1,FALSE
"869",26,1,1,"African American",1,FALSE
"870",52,0,1,"Hispanic",0,FALSE
"871",85,1,1,"Hispanic",0,TRUE
"872",33,1,1,"African American",1,FALSE
"873",46,1,0,"Hispanic",0,FALSE
"874",52,0,0,"Hispanic",0,FALSE
"875",47,0,1,"Hispanic",0,FALSE
"876",36,1,1,"Hispanic",1,FALSE
"877",19,0,0,"African American",1,FALSE
"878",22,1,0,"African American",0,FALSE
"879",51,1,1,"African American",1,FALSE
"880",26,1,0,"Hispanic",1,FALSE
"881",68,0,1,"African American",1,FALSE
"882",73,1,1,"African American",1,FALSE
"883",58,0,1,"Hispanic",0,FALSE
"884",42,1,1,"African American",0,FALSE
"885",45,0,0,"African American",1,FALSE
"886",35,0,1,"African American",1,FALSE
"887",58,1,1,"African American",1,FALSE
"888",58,1,0,"Hispanic",1,FALSE
"889",26,1,0,"Hispanic",0,FALSE
"890",26,0,0,"African American",0,FALSE
"891",54,1,1,"Hispanic",0,FALSE
"892",24,0,1,"African American",0,FALSE
"893",49,1,1,"Hispanic",0,FALSE
"894",29,1,0,"Hispanic",0,FALSE
"895",31,0,0,"Hispanic",0,FALSE
"896",66,1,1,"African American",1,FALSE
"897",67,0,1,"African American",1,FALSE
"898",30,1,1,"Hispanic",0,FALSE
"899",66,0,0,"Hispanic",0,TRUE
"900",20,0,1,"African American",1,FALSE
"901",61,1,1,"African American",1,FALSE
"902",33,0,0,"African American",1,FALSE
"903",51,0,0,"African American",1,FALSE
"904",21,1,0,"African American",1,FALSE
"905",55,0,1,"Hispanic",0,FALSE
"906",54,0,1,"Hispanic",1,FALSE
"907",37,1,1,"African American",0,FALSE
"908",32,1,1,"African American",1,FALSE
"909",28,1,1,"African American",1,FALSE
"910",21,1,0,"African American",1,FALSE
"911",32,1,1,"Hispanic",1,FALSE
"912",19,1,0,"Hispanic",1,FALSE
"913",21,1,1,"Hispanic",1,FALSE
"914",52,1,1,"Hispanic",1,FALSE
"915",23,1,0,"African American",0,FALSE
"916",46,1,1,"African American",1,FALSE
"917",21,1,0,"African American",0,FALSE
"918",61,1,1,"African American",1,FALSE
"919",64,1,1,"African American",0,FALSE
"920",52,0,0,"Hispanic",0,FALSE
"921",59,1,0,"African American",1,FALSE
"922",45,1,1,"Caucasian",1,FALSE
"923",58,1,1,"Hispanic",1,FALSE
"924",66,0,NA,"Caucasian",0,FALSE
"925",22,1,1,"Hispanic",1,FALSE
"926",53,1,1,"African American",1,FALSE
"927",54,1,1,"Hispanic",0,FALSE
"928",24,0,0,"African American",0,FALSE
"929",78,1,0,"Hispanic",0,TRUE
"930",31,1,1,"Hispanic",0,FALSE
"931",54,0,0,"Hispanic",1,FALSE
"932",19,0,1,"Hispanic",0,FALSE
"933",21,0,0,"African American",0,FALSE
"934",42,1,1,"African American",1,FALSE
"935",37,0,1,"Hispanic",1,FALSE
"936",67,0,1,"Hispanic",0,TRUE
"937",65,1,1,"African American",0,FALSE
"938",46,0,0,"Caucasian",0,FALSE
"939",68,1,0,"Caucasian",0,FALSE
"940",48,1,0,"Caucasian",0,FALSE
"941",67,1,1,"African American",1,FALSE
"942",54,1,0,"Asian",1,FALSE
"943",48,1,0,"African American",1,FALSE
"944",44,1,0,"African American",1,FALSE
"945",18,1,0,"African American",1,FALSE
"946",56,1,1,"African American",1,FALSE
"947",60,0,1,"African American",1,FALSE
"948",56,0,0,"Hispanic",1,FALSE
"949",21,0,0,"Hispanic",0,FALSE
"950",22,0,1,"African American",0,FALSE
"951",33,0,0,"Caucasian",1,FALSE
"952",55,1,0,"Hispanic",1,FALSE
"953",78,1,1,"Caucasian",0,FALSE
"954",55,0,1,"African American",0,FALSE
"955",61,0,1,"Hispanic",0,TRUE
"956",25,0,1,"Hispanic",0,FALSE
"957",30,NA,0,"Hispanic",0,FALSE
"958",77,0,1,"African American",1,FALSE
"959",24,1,1,"African American",0,FALSE
"960",67,1,1,"African American",1,FALSE
"961",20,1,0,"African American",0,FALSE
"962",49,0,0,"African American",1,FALSE
"963",65,1,1,"African American",1,FALSE
"964",42,1,0,"Hispanic",1,FALSE
"965",21,1,0,"Hispanic",1,FALSE
"966",30,1,1,"Hispanic",0,FALSE
"967",32,0,0,"Hispanic",1,FALSE
"968",23,1,1,"African American",1,FALSE
"969",48,1,1,"African American",1,FALSE
"970",20,1,1,"African American",1,FALSE
"971",22,1,1,"African American",1,FALSE
"972",72,0,1,"African American",1,FALSE
"973",20,1,0,"African American",1,FALSE
"974",35,1,1,"African American",1,FALSE
"975",26,1,1,"Hispanic",1,FALSE
"976",59,1,0,"African American",NA,FALSE
"977",68,1,1,"African American",0,FALSE
"978",73,0,1,"African American",0,FALSE
"979",61,1,1,"Hispanic",0,TRUE
"980",50,1,1,"Hispanic",0,FALSE
"981",57,0,1,"African American",1,FALSE
"982",84,1,0,"African American",1,FALSE
"983",28,0,0,"African American",0,FALSE
"984",56,NA,0,"Hispanic",1,FALSE
"985",30,1,0,"Hispanic",0,FALSE
"986",70,0,1,"Caucasian",0,FALSE
"987",52,0,1,"Caucasian",1,FALSE
"988",53,1,NA,"Caucasian",1,FALSE
"989",19,1,0,"Caucasian",1,FALSE
"990",44,1,1,"Asian",1,FALSE
"991",51,0,1,"Asian",0,FALSE
"992",34,1,1,"Hispanic",0,FALSE
"993",59,1,1,"Hispanic",1,FALSE
"994",19,1,1,"Hispanic",0,FALSE
"995",21,0,0,"Hispanic",1,FALSE
"996",50,0,0,"Caucasian",0,FALSE
"997",40,1,1,"Hispanic",1,FALSE
"998",50,0,1,"Hispanic",1,FALSE
"999",26,0,1,"Caucasian",0,FALSE
"1000",66,1,1,"Caucasian",0,FALSE
"1001",45,1,1,"Hispanic",NA,FALSE
"1002",49,1,1,"Hispanic",0,FALSE
"1003",60,1,1,"Caucasian",1,FALSE
"1004",31,0,1,"Hispanic",0,FALSE
"1005",50,1,1,"Caucasian",0,FALSE
"1006",53,0,1,"Caucasian",0,FALSE
"1007",54,NA,1,"Caucasian",0,FALSE
"1008",68,0,1,"Caucasian",0,FALSE
"1009",61,0,0,"Hispanic",1,TRUE
"1010",59,1,1,"Hispanic",0,FALSE
"1011",29,0,0,"Hispanic",0,FALSE
"1012",66,1,1,"Hispanic",1,TRUE
"1013",21,0,0,"Caucasian",1,FALSE
"1014",68,0,1,"Hispanic",1,TRUE
"1015",31,0,0,"Hispanic",1,FALSE
"1016",69,1,1,"Hispanic",0,TRUE
"1017",70,0,1,"Hispanic",0,TRUE
"1018",45,1,0,"Hispanic",0,FALSE
"1019",73,1,0,"Hispanic",1,TRUE
"1020",35,1,0,"Hispanic",1,FALSE
"1021",91,0,0,"Caucasian",1,FALSE
"1022",23,0,1,"Hispanic",0,FALSE
"1023",53,0,0,"Hispanic",0,FALSE
"1024",52,1,0,"Hispanic",1,FALSE
"1025",24,1,1,"Hispanic",0,FALSE
"1026",36,1,NA,"Hispanic",0,FALSE
"1027",77,0,1,"Caucasian",1,FALSE
"1028",78,0,1,"Caucasian",1,FALSE
"1029",73,1,1,"Caucasian",1,FALSE
"1030",65,0,1,"Caucasian",0,FALSE
"1031",61,1,1,"Hispanic",0,TRUE
"1032",32,1,0,"Hispanic",0,FALSE
"1033",72,0,1,"Caucasian",0,FALSE
"1034",39,1,0,"Hispanic",NA,FALSE
"1035",49,1,0,"Hispanic",0,FALSE
"1036",63,1,1,"Caucasian",0,FALSE
"1037",66,0,1,"Caucasian",0,FALSE
"1038",65,1,1,"Hispanic",0,TRUE
"1039",75,1,1,"Caucasian",0,FALSE
"1040",73,0,1,"Caucasian",0,FALSE
"1041",24,1,0,"Hispanic",0,FALSE
"1042",23,0,1,"Hispanic",1,FALSE
"1043",41,1,1,"Caucasian",1,FALSE
"1044",46,1,1,"Hispanic",1,FALSE
"1045",60,1,1,"Hispanic",1,TRUE
"1046",60,1,1,"Caucasian",1,FALSE
"1047",71,1,1,"Hispanic",0,TRUE
"1048",71,1,1,"Hispanic",0,TRUE
"1049",49,0,0,"Hispanic",0,FALSE
"1050",55,0,0,"Asian",1,FALSE
"1051",44,1,1,"Hispanic",0,FALSE
"1052",69,1,0,"Hispanic",0,TRUE
"1053",19,1,0,"Hispanic",0,FALSE
"1054",48,0,0,"Hispanic",0,FALSE
"1055",49,1,0,"Hispanic",0,FALSE
"1056",57,0,1,"Caucasian",1,FALSE
"1057",46,1,1,"Caucasian",1,FALSE
"1058",73,NA,1,"Hispanic",0,TRUE
"1059",27,1,0,"Hispanic",0,FALSE
"1060",23,0,1,"Hispanic",0,FALSE
"1061",34,1,0,"Hispanic",0,FALSE
"1062",33,0,0,"Hispanic",0,FALSE
"1063",23,1,1,"Hispanic",0,FALSE
"1064",34,1,0,"Hispanic",0,FALSE
"1065",48,0,0,"Hispanic",1,FALSE
"1066",74,0,0,"Hispanic",1,TRUE
"1067",31,1,1,"Hispanic",0,FALSE
"1068",31,0,1,"Hispanic",0,FALSE
"1069",68,0,NA,"Caucasian",1,FALSE
"1070",71,1,1,"Caucasian",1,FALSE
"1071",51,1,0,"Caucasian",1,FALSE
"1072",83,0,1,"Hispanic",0,TRUE
"1073",64,0,0,"Hispanic",0,TRUE
"1074",58,1,0,"Hispanic",0,FALSE
"1075",53,1,1,"Hispanic",1,FALSE
"1076",29,1,1,"Hispanic",1,FALSE
"1077",51,1,1,"Hispanic",1,FALSE
"1078",48,1,1,"Hispanic",0,FALSE
"1079",48,0,1,"Caucasian",0,FALSE
"1080",18,0,0,"Caucasian",0,FALSE
"1081",39,1,0,"Caucasian",0,FALSE
"1082",63,0,1,"Caucasian",0,FALSE
"1083",22,1,0,"Asian",1,FALSE
"1084",64,0,0,"Asian",1,FALSE
"1085",19,0,1,"Asian",1,FALSE
"1086",23,0,1,"Hispanic",0,FALSE
"1087",50,0,1,"Caucasian",0,FALSE
"1088",71,1,0,"Hispanic",0,TRUE
"1089",45,1,0,"Hispanic",0,FALSE
"1090",48,0,0,"Hispanic",0,FALSE
"1091",29,0,0,"Hispanic",0,FALSE
"1092",25,0,0,"Hispanic",1,FALSE
"1093",44,1,0,"Caucasian",0,FALSE
"1094",57,1,0,"Hispanic",1,FALSE
"1095",58,1,1,"Hispanic",1,FALSE
"1096",77,1,1,"Hispanic",0,TRUE
"1097",63,0,0,"Hispanic",0,TRUE
"1098",77,1,0,"Hispanic",0,TRUE
"1099",70,1,1,"Hispanic",0,TRUE
"1100",21,1,0,"Caucasian",0,FALSE
"1101",54,1,0,"Hispanic",0,FALSE
"1102",59,1,0,"Hispanic",0,FALSE
"1103",90,1,1,"Caucasian",1,FALSE
"1104",26,1,0,"Hispanic",0,FALSE
"1105",68,1,1,"Hispanic",0,TRUE
"1106",52,1,1,"Caucasian",0,FALSE
"1107",66,0,1,"Caucasian",0,FALSE
"1108",67,1,1,"Hispanic",0,TRUE
"1109",70,0,1,"Hispanic",0,TRUE
"1110",48,0,1,"Hispanic",1,FALSE
"1111",49,1,1,"Hispanic",1,FALSE
"1112",73,1,1,"Hispanic",1,TRUE
"1113",48,1,1,"Hispanic",1,FALSE
"1114",56,1,NA,"Hispanic",0,FALSE
"1115",81,0,0,"Hispanic",0,TRUE
"1116",60,1,1,"Hispanic",0,TRUE
"1117",55,1,1,"Hispanic",0,FALSE
"1118",63,0,1,"Hispanic",0,TRUE
"1119",24,0,1,"Hispanic",0,FALSE
"1120",29,0,1,"Hispanic",1,FALSE
"1121",57,1,0,"Hispanic",0,FALSE
"1122",22,0,0,"Hispanic",0,FALSE
"1123",67,0,1,"Hispanic",0,TRUE
"1124",52,0,0,"Caucasian",0,FALSE
"1125",63,1,0,"Caucasian",1,FALSE
"1126",50,1,1,"Hispanic",1,FALSE
"1127",66,0,1,"Hispanic",0,TRUE
"1128",20,1,1,"Hispanic",0,FALSE
"1129",47,1,1,"Hispanic",0,FALSE
"1130",40,1,0,"Hispanic",0,FALSE
"1131",43,0,1,"Caucasian",0,FALSE
"1132",40,1,1,"Hispanic",0,FALSE
"1133",72,1,1,"Caucasian",0,FALSE
"1134",60,0,1,"Hispanic",1,TRUE
"1135",21,0,0,"Caucasian",0,FALSE
"1136",59,0,0,"Caucasian",1,FALSE
"1137",62,1,1,"Caucasian",0,FALSE
"1138",38,0,1,"Hispanic",1,FALSE
"1139",29,1,0,"Caucasian",1,FALSE
"1140",45,1,1,"Hispanic",0,FALSE
"1141",52,0,1,"Hispanic",0,FALSE
"1142",20,0,0,"Hispanic",1,FALSE
"1143",21,1,NA,"Hispanic",1,FALSE
"1144",57,1,1,"Hispanic",0,FALSE
"1145",56,0,1,"Hispanic",1,FALSE
"1146",58,1,1,"Caucasian",1,FALSE
"1147",41,1,0,"Hispanic",0,FALSE
"1148",25,0,0,"Hispanic",0,FALSE
"1149",22,0,0,"Hispanic",0,FALSE
"1150",42,1,0,"Hispanic",0,FALSE
"1151",22,0,0,"Hispanic",0,FALSE
"1152",75,0,1,"Hispanic",0,TRUE
"1153",80,1,0,"Hispanic",0,TRUE
"1154",38,1,0,"Hispanic",0,FALSE
"1155",78,0,1,"Hispanic",0,TRUE
"1156",57,1,1,"Caucasian",1,FALSE
"1157",69,1,1,"Caucasian",1,FALSE
"1158",35,1,NA,"Hispanic",1,FALSE
"1159",60,1,1,"Caucasian",1,FALSE
"1160",67,0,1,"Hispanic",0,TRUE
"1161",51,1,0,"Hispanic",0,FALSE
"1162",30,1,0,"Hispanic",0,FALSE
"1163",38,1,1,"Hispanic",0,FALSE
"1164",47,1,1,"Hispanic",0,FALSE
"1165",20,1,0,"Hispanic",0,FALSE
"1166",63,1,1,"Caucasian",1,FALSE
"1167",27,1,1,"Hispanic",0,FALSE
"1168",20,1,0,"Hispanic",1,FALSE
"1169",75,0,1,"Hispanic",0,TRUE
"1170",43,0,0,"Hispanic",1,FALSE
"1171",53,1,1,"Hispanic",1,FALSE
"1172",33,0,0,"Hispanic",1,FALSE
"1173",21,1,0,"Hispanic",0,FALSE
"1174",57,0,1,"Caucasian",1,FALSE
"1175",66,0,1,"Hispanic",0,TRUE
"1176",39,0,1,"Hispanic",1,FALSE
"1177",53,1,1,"Hispanic",0,FALSE
"1178",56,0,1,"Hispanic",0,FALSE
"1179",57,1,1,"Hispanic",1,FALSE
"1180",31,0,0,"Hispanic",1,FALSE
"1181",26,0,0,"Hispanic",NA,FALSE
"1182",90,1,0,"Hispanic",0,TRUE
"1183",19,0,0,"Hispanic",0,FALSE
"1184",73,1,1,"Hispanic",0,TRUE
"1185",69,0,1,"Hispanic",1,TRUE
"1186",63,1,1,"Hispanic",1,TRUE
"1187",49,1,1,"Caucasian",1,FALSE
"1188",65,1,1,"Caucasian",1,FALSE
"1189",27,1,1,"Hispanic",0,FALSE
"1190",65,1,1,"Caucasian",0,FALSE
"1191",33,1,0,"Hispanic",0,FALSE
"1192",44,1,1,"Hispanic",1,FALSE
"1193",47,1,0,"Hispanic",1,FALSE
"1194",21,0,1,"Hispanic",0,FALSE
"1195",53,0,1,"Hispanic",0,FALSE
"1196",46,1,0,"Hispanic",1,FALSE
"1197",73,0,1,"Hispanic",0,TRUE
"1198",71,1,1,"Hispanic",0,TRUE
"1199",46,0,1,"Caucasian",1,FALSE
"1200",52,1,1,"Hispanic",1,FALSE
"1201",22,0,1,"Hispanic",NA,FALSE
"1202",54,1,1,"Hispanic",1,FALSE
"1203",85,1,1,"Caucasian",1,FALSE
"1204",37,1,1,"Hispanic",1,FALSE
"1205",42,1,1,"Hispanic",0,FALSE
"1206",27,1,0,"Hispanic",1,FALSE
"1207",38,1,1,"Hispanic",0,FALSE
"1208",70,0,1,"Hispanic",0,TRUE
"1209",59,1,1,"Hispanic",0,FALSE
"1210",33,1,0,"Caucasian",0,FALSE
"1211",32,0,1,"Caucasian",0,FALSE
"1212",36,1,1,"Caucasian",0,FALSE
"1213",50,0,1,"Hispanic",0,FALSE
"1214",34,0,0,"Hispanic",0,FALSE
"1215",25,1,1,"Caucasian",0,FALSE
"1216",73,0,NA,"Hispanic",0,TRUE
"1217",67,1,1,"Hispanic",1,TRUE
"1218",64,0,0,"Hispanic",1,TRUE
"1219",20,1,0,"Hispanic",0,FALSE
"1220",54,0,1,"Hispanic",0,FALSE
"1221",54,1,1,"Hispanic",0,FALSE
"1222",39,1,0,"Hispanic",0,FALSE
"1223",55,1,1,"Caucasian",1,FALSE
"1224",60,0,1,"Hispanic",0,TRUE
"1225",67,0,NA,"Caucasian",1,FALSE
"1226",21,1,1,"Hispanic",0,FALSE
"1227",38,1,1,"Hispanic",1,FALSE
"1228",70,1,0,"Hispanic",1,TRUE
"1229",74,0,0,"Caucasian",0,FALSE
"1230",48,1,1,"Hispanic",0,FALSE
"1231",50,0,1,"Hispanic",1,FALSE
"1232",40,0,0,"Hispanic",0,FALSE
"1233",46,1,0,"Hispanic",0,FALSE
"1234",53,NA,1,"Hispanic",1,FALSE
"1235",20,0,0,"Hispanic",0,FALSE
"1236",51,0,1,"Hispanic",0,FALSE
"1237",34,1,1,"Hispanic",0,FALSE
"1238",53,1,0,"Caucasian",1,FALSE
"1239",30,0,1,"Hispanic",1,FALSE
"1240",34,0,1,"Caucasian",1,FALSE
"1241",74,0,1,"Caucasian",1,FALSE
"1242",40,0,1,"Hispanic",0,FALSE
"1243",29,0,1,"Hispanic",0,FALSE
"1244",32,1,0,"Hispanic",0,FALSE
"1245",64,0,1,"Hispanic",1,TRUE
"1246",26,1,0,"Hispanic",0,FALSE
"1247",54,1,1,"Hispanic",0,FALSE
"1248",44,0,0,"Caucasian",0,FALSE
"1249",78,1,1,"Caucasian",NA,FALSE
"1250",79,0,1,"Caucasian",1,FALSE
"1251",79,1,1,"Hispanic",0,TRUE
"1252",39,1,1,"Caucasian",0,FALSE
"1253",52,1,0,"Hispanic",0,FALSE
"1254",62,0,0,"Hispanic",1,TRUE
"1255",33,0,0,"Hispanic",0,FALSE
